distrito,ano,semana,casos_notificados,semana_epidemiologica
SANTA EULALIA,2024,49,1,2024-SE49
SANTA MARIA,2023,18,1,2023-SE18
SANTA MARIA,2023,19,2,2023-SE19
SANTA MARIA,2023,20,3,2023-SE20
SANTA MARIA,2023,21,1,2023-SE21
SANTA MARIA,2023,22,2,2023-SE22
SANTA MARIA,2023,23,1,2023-SE23
SANTA MARIA,2023,24,1,2023-SE24
SANTA MARIA,2023,25,1,2023-SE25
SANTA MARIA,2023,27,3,2023-SE27
SANTA MARIA,2023,28,1,2023-SE28
SANTA MARIA,2023,36,1,2023-SE36
SANTA MARIA,2024,5,2,2024-SE05
SANTA MARIA,2024,6,2,2024-SE06
SANTA MARIA,2024,7,6,2024-SE07
SANTA MARIA,2024,8,10,2024-SE08
SANTA MARIA,2024,9,25,2024-SE09
SANTA MARIA,2024,10,38,2024-SE10
SANTA MARIA,2024,11,51,2024-SE11
SANTA MARIA,2024,12,67,2024-SE12
SANTA MARIA,2024,13,58,2024-SE13
SANTA MARIA,2024,14,96,2024-SE14
SANTA MARIA,2024,15,100,2024-SE15
SANTA MARIA,2024,16,122,2024-SE16
SANTA MARIA,2024,17,90,2024-SE17
SANTA MARIA,2024,18,98,2024-SE18
SANTA MARIA,2024,19,86,2024-SE19
SANTA MARIA,2024,20,37,2024-SE20
SANTA MARIA,2024,21,27,2024-SE21
SANTA MARIA,2024,22,17,2024-SE22
SANTA MARIA,2024,23,10,2024-SE23
SANTA MARIA,2024,24,8,2024-SE24
SANTA MARIA,2024,25,2,2024-SE25
SANTA MARIA,2024,26,1,2024-SE26
SANTA MARIA DEL MAR,2023,17,1,2023-SE17
SANTA MARIA DEL MAR,2023,20,1,2023-SE20
SANTA ROSA,2023,14,1,2023-SE14
SANTA ROSA,2023,16,3,2023-SE16
SANTA ROSA,2023,17,2,2023-SE17
SANTA ROSA,2023,18,8,2023-SE18
SANTA ROSA,2023,19,9,2023-SE19
SANTA ROSA,2023,20,13,2023-SE20
SANTA ROSA,2023,21,9,2023-SE21
SANTA ROSA,2023,22,11,2023-SE22
SANTA ROSA,2023,23,4,2023-SE23
SANTA ROSA,2023,24,11,2023-SE24
SANTA ROSA,2023,25,8,2023-SE25
SANTA ROSA,2023,26,2,2023-SE26
SANTA ROSA,2023,27,2,2023-SE27
SANTA ROSA,2023,28,2,2023-SE28
SANTA ROSA,2023,29,1,2023-SE29
SANTA ROSA,2023,30,3,2023-SE30
SANTA ROSA,2023,31,2,2023-SE31
SANTA ROSA,2023,32,1,2023-SE32
SANTA ROSA,2023,33,1,2023-SE33
SANTA ROSA,2023,35,1,2023-SE35
SANTA ROSA,2023,47,1,2023-SE47
SANTA ROSA,2024,4,1,2024-SE04
SANTA ROSA,2024,8,1,2024-SE08
SANTA ROSA,2024,9,4,2024-SE09
SANTA ROSA,2024,10,5,2024-SE10
SANTA ROSA,2024,11,7,2024-SE11
SANTA ROSA,2024,12,12,2024-SE12
SANTA ROSA,2024,13,15,2024-SE13
SANTA ROSA,2024,14,24,2024-SE14
SANTA ROSA,2024,15,34,2024-SE15
SANTA ROSA,2024,16,28,2024-SE16
SANTA ROSA,2024,17,14,2024-SE17
SANTA ROSA,2024,18,13,2024-SE18
SANTA ROSA,2024,19,17,2024-SE19
SANTA ROSA,2024,20,9,2024-SE20
SANTA ROSA,2024,21,5,2024-SE21
SANTA ROSA,2024,22,5,2024-SE22
SANTA ROSA,2024,23,1,2024-SE23
SANTA ROSA DE QUIVES,2024,13,1,2024-SE13
SANTA ROSA DE QUIVES,2024,14,1,2024-SE14
SANTA ROSA DE QUIVES,2024,20,2,2024-SE20
SANTA ROSA DE QUIVES,2024,21,1,2024-SE21
SANTIAGO DE SURCO,2005,15,1,2005-SE15
SANTIAGO DE SURCO,2005,16,5,2005-SE16
SANTIAGO DE SURCO,2005,24,1,2005-SE24
SANTIAGO DE SURCO,2017,21,1,2017-SE21
SANTIAGO DE SURCO,2018,20,1,2018-SE20
SANTIAGO DE SURCO,2021,12,1,2021-SE12
SANTIAGO DE SURCO,2021,13,1,2021-SE13
SANTIAGO DE SURCO,2021,14,1,2021-SE14
SANTIAGO DE SURCO,2021,17,1,2021-SE17
SANTIAGO DE SURCO,2023,11,1,2023-SE11
SANTIAGO DE SURCO,2023,14,1,2023-SE14
SANTIAGO DE SURCO,2023,15,1,2023-SE15
SANTIAGO DE SURCO,2023,16,6,2023-SE16
SANTIAGO DE SURCO,2023,17,3,2023-SE17
SANTIAGO DE SURCO,2023,18,12,2023-SE18
SANTIAGO DE SURCO,2023,19,14,2023-SE19
SANTIAGO DE SURCO,2023,20,9,2023-SE20
SANTIAGO DE SURCO,2023,21,18,2023-SE21
SANTIAGO DE SURCO,2023,22,12,2023-SE22
SANTIAGO DE SURCO,2023,23,12,2023-SE23
SANTIAGO DE SURCO,2023,24,11,2023-SE24
SANTIAGO DE SURCO,2023,25,17,2023-SE25
SANTIAGO DE SURCO,2023,26,8,2023-SE26
SANTIAGO DE SURCO,2023,27,2,2023-SE27
SANTIAGO DE SURCO,2023,28,1,2023-SE28
SANTIAGO DE SURCO,2023,29,5,2023-SE29
SANTIAGO DE SURCO,2023,31,3,2023-SE31
SANTIAGO DE SURCO,2023,32,1,2023-SE32
SANTIAGO DE SURCO,2023,33,2,2023-SE33
SANTIAGO DE SURCO,2023,34,2,2023-SE34
SANTIAGO DE SURCO,2023,35,2,2023-SE35
SANTIAGO DE SURCO,2023,36,1,2023-SE36
SANTIAGO DE SURCO,2023,42,3,2023-SE42
SANTIAGO DE SURCO,2023,43,2,2023-SE43
SANTIAGO DE SURCO,2023,46,1,2023-SE46
SANTIAGO DE SURCO,2023,51,1,2023-SE51
SANTIAGO DE SURCO,2024,1,1,2024-SE01
SANTIAGO DE SURCO,2024,2,1,2024-SE02
SANTIAGO DE SURCO,2024,6,1,2024-SE06
SANTIAGO DE SURCO,2024,7,4,2024-SE07
SANTIAGO DE SURCO,2024,8,8,2024-SE08
SANTIAGO DE SURCO,2024,9,22,2024-SE09
SANTIAGO DE SURCO,2024,10,23,2024-SE10
SANTIAGO DE SURCO,2024,11,33,2024-SE11
SANTIAGO DE SURCO,2024,12,33,2024-SE12
SANTIAGO DE SURCO,2024,13,41,2024-SE13
SANTIAGO DE SURCO,2024,14,81,2024-SE14
SANTIAGO DE SURCO,2024,15,39,2024-SE15
SANTIAGO DE SURCO,2024,16,61,2024-SE16
SANTIAGO DE SURCO,2024,17,51,2024-SE17
SANTIAGO DE SURCO,2024,18,45,2024-SE18
SANTIAGO DE SURCO,2024,19,32,2024-SE19
SANTIAGO DE SURCO,2024,20,24,2024-SE20
SANTIAGO DE SURCO,2024,21,11,2024-SE21
SANTIAGO DE SURCO,2024,22,8,2024-SE22
SANTIAGO DE SURCO,2024,23,5,2024-SE23
SANTIAGO DE SURCO,2024,24,6,2024-SE24
SANTIAGO DE SURCO,2024,26,2,2024-SE26
SANTIAGO DE SURCO,2024,27,1,2024-SE27
SANTIAGO DE SURCO,2024,28,1,2024-SE28
SANTIAGO DE SURCO,2024,29,1,2024-SE29
SANTIAGO DE SURCO,2024,31,2,2024-SE31
SANTIAGO DE SURCO,2024,32,2,2024-SE32
SANTIAGO DE SURCO,2024,33,1,2024-SE33
SANTIAGO DE SURCO,2024,34,1,2024-SE34
SANTIAGO DE SURCO,2024,35,1,2024-SE35
SANTIAGO DE SURCO,2024,37,1,2024-SE37
SANTO DOMINGO DE LOS OLLEROS,2024,9,1,2024-SE09
SANTO DOMINGO DE LOS OLLEROS,2024,10,3,2024-SE10
SANTO DOMINGO DE LOS OLLEROS,2024,12,1,2024-SE12
SANTO DOMINGO DE LOS OLLEROS,2024,13,3,2024-SE13
SANTO DOMINGO DE LOS OLLEROS,2024,14,1,2024-SE14
SANTO DOMINGO DE LOS OLLEROS,2024,15,12,2024-SE15
SANTO DOMINGO DE LOS OLLEROS,2024,16,4,2024-SE16
SANTO DOMINGO DE LOS OLLEROS,2024,17,2,2024-SE17
SANTO DOMINGO DE LOS OLLEROS,2024,18,4,2024-SE18
SANTO DOMINGO DE LOS OLLEROS,2024,19,3,2024-SE19
SANTO DOMINGO DE LOS OLLEROS,2024,20,3,2024-SE20
SANTO DOMINGO DE LOS OLLEROS,2024,22,4,2024-SE22
SAYAN,2023,15,1,2023-SE15
SAYAN,2023,38,1,2023-SE38
SAYAN,2024,13,2,2024-SE13
SAYAN,2024,14,9,2024-SE14
SAYAN,2024,15,6,2024-SE15
SAYAN,2024,16,8,2024-SE16
SAYAN,2024,17,7,2024-SE17
SAYAN,2024,18,6,2024-SE18
SAYAN,2024,19,5,2024-SE19
SAYAN,2024,20,2,2024-SE20
SAYAN,2024,21,3,2024-SE21
SAYAN,2024,23,1,2024-SE23
SAYAN,2024,24,2,2024-SE24
SAYAN,2024,25,3,2024-SE25
SUPE,2023,14,1,2023-SE14
SUPE,2023,15,1,2023-SE15
SUPE,2023,18,1,2023-SE18
SUPE,2023,23,8,2023-SE23
SUPE,2023,24,2,2023-SE24
SUPE,2023,25,3,2023-SE25
SUPE,2023,26,12,2023-SE26
SUPE,2023,27,7,2023-SE27
SUPE,2023,28,12,2023-SE28
SUPE,2023,29,7,2023-SE29
SUPE,2023,30,13,2023-SE30
SUPE,2023,31,11,2023-SE31
SUPE,2023,32,12,2023-SE32
SUPE,2023,33,26,2023-SE33
SUPE,2023,34,24,2023-SE34
SUPE,2023,35,20,2023-SE35
SUPE,2023,36,18,2023-SE36
SUPE,2023,37,13,2023-SE37
SUPE,2023,38,5,2023-SE38
SUPE,2023,39,8,2023-SE39
SUPE,2023,40,9,2023-SE40
SUPE,2023,41,5,2023-SE41
SUPE,2023,42,3,2023-SE42
SUPE,2023,43,2,2023-SE43
SUPE,2023,44,1,2023-SE44
SUPE,2023,45,5,2023-SE45
SUPE,2023,47,2,2023-SE47
SUPE,2023,48,1,2023-SE48
SUPE,2023,51,1,2023-SE51
SUPE,2024,1,1,2024-SE01
SUPE,2024,2,1,2024-SE02
SUPE,2024,3,1,2024-SE03
SUPE,2024,4,3,2024-SE04
SUPE,2024,5,4,2024-SE05
SUPE,2024,6,7,2024-SE06
SUPE,2024,7,23,2024-SE07
SUPE,2024,8,51,2024-SE08
SUPE,2024,9,22,2024-SE09
SUPE,2024,10,60,2024-SE10
SUPE,2024,11,71,2024-SE11
SUPE,2024,12,71,2024-SE12
SUPE,2024,13,64,2024-SE13
SUPE,2024,14,58,2024-SE14
SUPE,2024,15,49,2024-SE15
SUPE,2024,16,55,2024-SE16
SUPE,2024,17,29,2024-SE17
SUPE,2024,18,29,2024-SE18
SUPE,2024,19,19,2024-SE19
SUPE,2024,20,15,2024-SE20
SUPE,2024,21,8,2024-SE21
SUPE,2024,22,7,2024-SE22
SUPE,2024,23,4,2024-SE23
SUPE,2024,24,1,2024-SE24
SUPE,2024,25,1,2024-SE25
SUPE,2024,30,1,2024-SE30
SUPE PUERTO,2023,19,9,2023-SE19
SUPE PUERTO,2023,20,5,2023-SE20
SUPE PUERTO,2023,21,11,2023-SE21
SUPE PUERTO,2023,22,10,2023-SE22
SUPE PUERTO,2023,23,8,2023-SE23
SUPE PUERTO,2023,24,16,2023-SE24
SUPE PUERTO,2023,25,5,2023-SE25
SUPE PUERTO,2023,26,6,2023-SE26
SUPE PUERTO,2023,27,17,2023-SE27
SUPE PUERTO,2023,28,20,2023-SE28
SUPE PUERTO,2023,29,12,2023-SE29
SUPE PUERTO,2023,30,16,2023-SE30
SUPE PUERTO,2023,31,13,2023-SE31
SUPE PUERTO,2023,32,18,2023-SE32
SUPE PUERTO,2023,33,19,2023-SE33
SUPE PUERTO,2023,34,23,2023-SE34
SUPE PUERTO,2023,35,28,2023-SE35
SUPE PUERTO,2023,36,18,2023-SE36
SUPE PUERTO,2023,37,7,2023-SE37
SUPE PUERTO,2023,38,8,2023-SE38
SUPE PUERTO,2023,39,4,2023-SE39
SUPE PUERTO,2023,40,2,2023-SE40
SUPE PUERTO,2023,41,5,2023-SE41
SUPE PUERTO,2023,42,2,2023-SE42
SUPE PUERTO,2023,43,4,2023-SE43
SUPE PUERTO,2023,44,2,2023-SE44
SUPE PUERTO,2023,46,2,2023-SE46
SUPE PUERTO,2023,49,1,2023-SE49
SUPE PUERTO,2023,51,1,2023-SE51
SUPE PUERTO,2024,1,3,2024-SE01
SUPE PUERTO,2024,2,1,2024-SE02
SUPE PUERTO,2024,3,1,2024-SE03
SUPE PUERTO,2024,4,6,2024-SE04
SUPE PUERTO,2024,5,3,2024-SE05
SUPE PUERTO,2024,6,6,2024-SE06
SUPE PUERTO,2024,7,3,2024-SE07
SUPE PUERTO,2024,8,11,2024-SE08
SUPE PUERTO,2024,9,23,2024-SE09
SUPE PUERTO,2024,10,22,2024-SE10
SUPE PUERTO,2024,11,39,2024-SE11
SUPE PUERTO,2024,12,19,2024-SE12
SUPE PUERTO,2024,13,20,2024-SE13
SUPE PUERTO,2024,14,49,2024-SE14
SUPE PUERTO,2024,15,43,2024-SE15
SUPE PUERTO,2024,16,38,2024-SE16
SUPE PUERTO,2024,17,34,2024-SE17
SUPE PUERTO,2024,18,30,2024-SE18
SUPE PUERTO,2024,19,21,2024-SE19
SUPE PUERTO,2024,20,12,2024-SE20
SUPE PUERTO,2024,21,10,2024-SE21
SUPE PUERTO,2024,22,11,2024-SE22
SUPE PUERTO,2024,23,6,2024-SE23
SUPE PUERTO,2024,24,1,2024-SE24
SUPE PUERTO,2024,25,1,2024-SE25
SUPE PUERTO,2024,26,1,2024-SE26
SUPE PUERTO,2024,27,1,2024-SE27
SUPE PUERTO,2024,29,1,2024-SE29
SURQUILLO,2023,16,1,2023-SE16
SURQUILLO,2023,18,2,2023-SE18
SURQUILLO,2023,19,3,2023-SE19
SURQUILLO,2023,20,3,2023-SE20
SURQUILLO,2023,21,6,2023-SE21
SURQUILLO,2023,22,4,2023-SE22
SURQUILLO,2023,23,3,2023-SE23
SURQUILLO,2023,24,1,2023-SE24
SURQUILLO,2023,25,3,2023-SE25
SURQUILLO,2023,29,1,2023-SE29
SURQUILLO,2023,31,1,2023-SE31
SURQUILLO,2023,32,3,2023-SE32
SURQUILLO,2023,36,1,2023-SE36
SURQUILLO,2023,42,1,2023-SE42
SURQUILLO,2024,7,1,2024-SE07
SURQUILLO,2024,8,1,2024-SE08
SURQUILLO,2024,9,4,2024-SE09
SURQUILLO,2024,10,8,2024-SE10
SURQUILLO,2024,11,9,2024-SE11
SURQUILLO,2024,12,7,2024-SE12
SURQUILLO,2024,13,8,2024-SE13
SURQUILLO,2024,14,20,2024-SE14
SURQUILLO,2024,15,11,2024-SE15
SURQUILLO,2024,16,14,2024-SE16
SURQUILLO,2024,17,19,2024-SE17
SURQUILLO,2024,18,11,2024-SE18
SURQUILLO,2024,19,8,2024-SE19
SURQUILLO,2024,20,5,2024-SE20
SURQUILLO,2024,21,4,2024-SE21
SURQUILLO,2024,22,2,2024-SE22
SURQUILLO,2024,24,4,2024-SE24
SURQUILLO,2024,25,2,2024-SE25
SURQUILLO,2024,27,1,2024-SE27
SURQUILLO,2024,35,1,2024-SE35
SURQUILLO,2024,47,1,2024-SE47
SURQUILLO,2024,51,1,2024-SE51
VEGUETA,2023,36,2,2023-SE36
VEGUETA,2023,37,1,2023-SE37
VEGUETA,2024,8,2,2024-SE08
VEGUETA,2024,9,4,2024-SE09
VEGUETA,2024,10,7,2024-SE10
VEGUETA,2024,11,11,2024-SE11
VEGUETA,2024,12,12,2024-SE12
VEGUETA,2024,13,10,2024-SE13
VEGUETA,2024,14,10,2024-SE14
VEGUETA,2024,15,12,2024-SE15
VEGUETA,2024,16,21,2024-SE16
VEGUETA,2024,17,9,2024-SE17
VEGUETA,2024,18,13,2024-SE18
VEGUETA,2024,19,16,2024-SE19
VEGUETA,2024,20,5,2024-SE20
VEGUETA,2024,21,4,2024-SE21
VEGUETA,2024,22,2,2024-SE22
VEGUETA,2024,27,1,2024-SE27
VILLA EL SALVADOR,2001,42,1,2001-SE42
VILLA EL SALVADOR,2005,49,1,2005-SE49
VILLA EL SALVADOR,2007,23,1,2007-SE23
VILLA EL SALVADOR,2020,34,1,2020-SE34
VILLA EL SALVADOR,2022,16,2,2022-SE16
VILLA EL SALVADOR,2023,12,1,2023-SE12
VILLA EL SALVADOR,2023,16,1,2023-SE16
VILLA EL SALVADOR,2023,17,1,2023-SE17
VILLA EL SALVADOR,2023,18,6,2023-SE18
VILLA EL SALVADOR,2023,19,13,2023-SE19
VILLA EL SALVADOR,2023,20,13,2023-SE20
VILLA EL SALVADOR,2023,21,22,2023-SE21
VILLA EL SALVADOR,2023,22,25,2023-SE22
VILLA EL SALVADOR,2023,23,22,2023-SE23
VILLA EL SALVADOR,2023,24,8,2023-SE24
VILLA EL SALVADOR,2023,25,12,2023-SE25
VILLA EL SALVADOR,2023,26,2,2023-SE26
VILLA EL SALVADOR,2023,27,9,2023-SE27
VILLA EL SALVADOR,2023,28,6,2023-SE28
VILLA EL SALVADOR,2023,29,7,2023-SE29
VILLA EL SALVADOR,2023,30,6,2023-SE30
VILLA EL SALVADOR,2023,31,3,2023-SE31
VILLA EL SALVADOR,2023,32,5,2023-SE32
VILLA EL SALVADOR,2023,33,6,2023-SE33
VILLA EL SALVADOR,2023,34,4,2023-SE34
VILLA EL SALVADOR,2023,35,2,2023-SE35
VILLA EL SALVADOR,2023,36,5,2023-SE36
VILLA EL SALVADOR,2023,37,5,2023-SE37
VILLA EL SALVADOR,2023,38,1,2023-SE38
VILLA EL SALVADOR,2023,40,2,2023-SE40
VILLA EL SALVADOR,2023,41,3,2023-SE41
VILLA EL SALVADOR,2023,43,2,2023-SE43
VILLA EL SALVADOR,2023,44,1,2023-SE44
VILLA EL SALVADOR,2023,45,1,2023-SE45
VILLA EL SALVADOR,2023,48,1,2023-SE48
VILLA EL SALVADOR,2023,49,1,2023-SE49
VILLA EL SALVADOR,2023,50,1,2023-SE50
VILLA EL SALVADOR,2024,4,1,2024-SE04
VILLA EL SALVADOR,2024,5,4,2024-SE05
VILLA EL SALVADOR,2024,6,7,2024-SE06
VILLA EL SALVADOR,2024,7,39,2024-SE07
VILLA EL SALVADOR,2024,8,48,2024-SE08
VILLA EL SALVADOR,2024,9,60,2024-SE09
VILLA EL SALVADOR,2024,10,58,2024-SE10
VILLA EL SALVADOR,2024,11,69,2024-SE11
VILLA EL SALVADOR,2024,12,77,2024-SE12
VILLA EL SALVADOR,2024,13,88,2024-SE13
VILLA EL SALVADOR,2024,14,122,2024-SE14
VILLA EL SALVADOR,2024,15,130,2024-SE15
VILLA EL SALVADOR,2024,16,151,2024-SE16
VILLA EL SALVADOR,2024,17,116,2024-SE17
VILLA EL SALVADOR,2024,18,74,2024-SE18
VILLA EL SALVADOR,2024,19,86,2024-SE19
VILLA EL SALVADOR,2024,20,60,2024-SE20
VILLA EL SALVADOR,2024,21,34,2024-SE21
VILLA EL SALVADOR,2024,22,13,2024-SE22
VILLA EL SALVADOR,2024,23,12,2024-SE23
VILLA EL SALVADOR,2024,24,1,2024-SE24
VILLA EL SALVADOR,2024,25,1,2024-SE25
VILLA EL SALVADOR,2024,26,1,2024-SE26
VILLA EL SALVADOR,2024,27,1,2024-SE27
VILLA EL SALVADOR,2024,37,1,2024-SE37
VILLA MARIA DEL TRIUNFO,2005,19,1,2005-SE19
VILLA MARIA DEL TRIUNFO,2005,44,1,2005-SE44
VILLA MARIA DEL TRIUNFO,2007,16,1,2007-SE16
VILLA MARIA DEL TRIUNFO,2013,10,1,2013-SE10
VILLA MARIA DEL TRIUNFO,2013,12,4,2013-SE12
VILLA MARIA DEL TRIUNFO,2013,13,31,2013-SE13
VILLA MARIA DEL TRIUNFO,2013,14,35,2013-SE14
VILLA MARIA DEL TRIUNFO,2013,15,12,2013-SE15
VILLA MARIA DEL TRIUNFO,2013,16,10,2013-SE16
VILLA MARIA DEL TRIUNFO,2016,14,2,2016-SE14
VILLA MARIA DEL TRIUNFO,2016,15,1,2016-SE15
VILLA MARIA DEL TRIUNFO,2016,16,2,2016-SE16
VILLA MARIA DEL TRIUNFO,2016,18,1,2016-SE18
VILLA MARIA DEL TRIUNFO,2017,21,1,2017-SE21
VILLA MARIA DEL TRIUNFO,2021,10,2,2021-SE10
VILLA MARIA DEL TRIUNFO,2021,11,1,2021-SE11
VILLA MARIA DEL TRIUNFO,2021,13,7,2021-SE13
VILLA MARIA DEL TRIUNFO,2021,14,8,2021-SE14
VILLA MARIA DEL TRIUNFO,2021,15,15,2021-SE15
VILLA MARIA DEL TRIUNFO,2021,16,11,2021-SE16
VILLA MARIA DEL TRIUNFO,2021,17,5,2021-SE17
VILLA MARIA DEL TRIUNFO,2021,20,4,2021-SE20
VILLA MARIA DEL TRIUNFO,2022,12,1,2022-SE12
VILLA MARIA DEL TRIUNFO,2022,13,6,2022-SE13
VILLA MARIA DEL TRIUNFO,2022,15,2,2022-SE15
VILLA MARIA DEL TRIUNFO,2022,16,1,2022-SE16
VILLA MARIA DEL TRIUNFO,2022,17,2,2022-SE17
VILLA MARIA DEL TRIUNFO,2022,18,4,2022-SE18
VILLA MARIA DEL TRIUNFO,2022,19,4,2022-SE19
VILLA MARIA DEL TRIUNFO,2022,20,2,2022-SE20
VILLA MARIA DEL TRIUNFO,2022,21,1,2022-SE21
VILLA MARIA DEL TRIUNFO,2022,22,1,2022-SE22
VILLA MARIA DEL TRIUNFO,2023,4,1,2023-SE04
VILLA MARIA DEL TRIUNFO,2023,12,2,2023-SE12
VILLA MARIA DEL TRIUNFO,2023,14,6,2023-SE14
VILLA MARIA DEL TRIUNFO,2023,15,8,2023-SE15
VILLA MARIA DEL TRIUNFO,2023,16,17,2023-SE16
VILLA MARIA DEL TRIUNFO,2023,17,41,2023-SE17
VILLA MARIA DEL TRIUNFO,2023,18,47,2023-SE18
VILLA MARIA DEL TRIUNFO,2023,19,67,2023-SE19
VILLA MARIA DEL TRIUNFO,2023,20,90,2023-SE20
VILLA MARIA DEL TRIUNFO,2023,21,84,2023-SE21
VILLA MARIA DEL TRIUNFO,2023,22,67,2023-SE22
VILLA MARIA DEL TRIUNFO,2023,23,41,2023-SE23
VILLA MARIA DEL TRIUNFO,2023,24,32,2023-SE24
VILLA MARIA DEL TRIUNFO,2023,25,33,2023-SE25
VILLA MARIA DEL TRIUNFO,2023,26,18,2023-SE26
VILLA MARIA DEL TRIUNFO,2023,27,13,2023-SE27
VILLA MARIA DEL TRIUNFO,2023,28,9,2023-SE28
VILLA MARIA DEL TRIUNFO,2023,29,5,2023-SE29
VILLA MARIA DEL TRIUNFO,2023,30,5,2023-SE30
VILLA MARIA DEL TRIUNFO,2023,31,5,2023-SE31
VILLA MARIA DEL TRIUNFO,2023,32,3,2023-SE32
VILLA MARIA DEL TRIUNFO,2023,33,4,2023-SE33
VILLA MARIA DEL TRIUNFO,2023,34,1,2023-SE34
VILLA MARIA DEL TRIUNFO,2023,35,1,2023-SE35
VILLA MARIA DEL TRIUNFO,2023,38,1,2023-SE38
VILLA MARIA DEL TRIUNFO,2023,39,2,2023-SE39
VILLA MARIA DEL TRIUNFO,2023,40,1,2023-SE40
VILLA MARIA DEL TRIUNFO,2023,44,2,2023-SE44
VILLA MARIA DEL TRIUNFO,2023,46,2,2023-SE46
VILLA MARIA DEL TRIUNFO,2023,50,1,2023-SE50
VILLA MARIA DEL TRIUNFO,2024,5,2,2024-SE05
VILLA MARIA DEL TRIUNFO,2024,6,11,2024-SE06
VILLA MARIA DEL TRIUNFO,2024,7,35,2024-SE07
VILLA MARIA DEL TRIUNFO,2024,8,82,2024-SE08
VILLA MARIA DEL TRIUNFO,2024,9,147,2024-SE09
VILLA MARIA DEL TRIUNFO,2024,10,233,2024-SE10
VILLA MARIA DEL TRIUNFO,2024,11,295,2024-SE11
VILLA MARIA DEL TRIUNFO,2024,12,305,2024-SE12
VILLA MARIA DEL TRIUNFO,2024,13,395,2024-SE13
VILLA MARIA DEL TRIUNFO,2024,14,549,2024-SE14
VILLA MARIA DEL TRIUNFO,2024,15,528,2024-SE15
VILLA MARIA DEL TRIUNFO,2024,16,562,2024-SE16
VILLA MARIA DEL TRIUNFO,2024,17,402,2024-SE17
VILLA MARIA DEL TRIUNFO,2024,18,376,2024-SE18
VILLA MARIA DEL TRIUNFO,2024,19,286,2024-SE19
VILLA MARIA DEL TRIUNFO,2024,20,212,2024-SE20
VILLA MARIA DEL TRIUNFO,2024,21,141,2024-SE21
VILLA MARIA DEL TRIUNFO,2024,22,48,2024-SE22
VILLA MARIA DEL TRIUNFO,2024,23,24,2024-SE23
VILLA MARIA DEL TRIUNFO,2024,24,9,2024-SE24
VILLA MARIA DEL TRIUNFO,2024,25,7,2024-SE25
VILLA MARIA DEL TRIUNFO,2024,26,2,2024-SE26
ZU�IGA,2024,19,2,2024-SE19
